,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
55,"Tyler, The Creator",CORSO,46oHvXwpEZOFX518we1nJD,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,61,True,0.703,146482,0.845,10,-4.851,0,0.337,0.169,0.0,0.122,0.745,97.672,4,[]
56,"Tyler, The Creator",Goblin,5LJD1sBRPnDkhWs2D5qRk2,Goblin,5dbCm8qaCdWnNdVyi3urUO,2011-05-09,46,True,0.456,408520,0.529,5,-12.651,0,0.828,0.534,0.0,0.219,0.444,78.235,4,[]
57,"Tyler, The Creator",Pigs,5L4n81Ecf8UE837uJkuoJJ,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,49,True,0.406,254733,0.734,1,-6.983,0,0.246,0.0275,0.000978,0.0768,0.488,80.208,4,[]
58,"Tyler, The Creator",MASSA,2goHCrsDJaflEwQ930ef0o,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,57,True,0.685,223719,0.855,1,-6.724,0,0.438,0.329,8.9e-05,0.301,0.46,157.181,4,[]
59,"Tyler, The Creator",SAFARI,09xpQPfKWdio1wx6v17dGa,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,56,True,0.471,177743,0.71,1,-6.462,0,0.213,0.0618,1.7e-06,0.338,0.599,80.453,4,[]
60,"Tyler, The Creator",WOLF,2JZpS2sOdJy37oBpn1GuPW,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,54,True,0.426,109893,0.303,1,-11.52,0,0.0787,0.316,0.00795,0.411,0.383,139.042,4,[]
61,"Tyler, The Creator",SWEET / I THOUGHT YOU WANTED TO DANCE (feat. Brent Faiyaz & Fana Hues),0pR5vcd51X9wyACCiolHNR,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,55,True,0.468,588139,0.652,0,-4.912,1,0.0722,0.333,0.000318,0.55,0.39,140.223,4,"['Brent Faiyaz', 'Fana Hues']"
62,"Tyler, The Creator",WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),1G3YgeTpECl3LYqFsUfzs5,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,54,True,0.493,121573,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,4,"['YoungBoy Never Broke Again', 'Ty Dolla $ign']"
63,"Tyler, The Creator",CORSO,2M6P0j9uCqFzx8u9P4VxNi,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,53,True,0.703,146482,0.845,10,-4.851,0,0.337,0.169,0.0,0.122,0.745,97.672,4,[]
64,"Tyler, The Creator",SIR BAUDELAIRE (feat. DJ Drama),65Cev4uzaAUqfqu0oxepew,CALL ME IF YOU GET LOST: The Estate Sale,1GG6U2SSJPHO6XsFiBzxYv,2023-03-31,51,True,0.467,88625,0.635,7,-6.115,1,0.154,0.314,4.16e-06,0.844,0.51,127.596,3,['DJ Drama']
65,"Tyler, The Creator",WILSHIRE,1pbbsI2KGPOMu0HmuGccBu,CALL ME IF YOU GET LOST,45ba6QAtNrdv6Ke4MFOKk9,2021-06-25,60,True,0.555,515865,0.712,1,-7.446,1,0.323,0.0451,5.14e-06,0.182,0.555,78.958,4,[]
66,"Tyler, The Creator",Bastard,7gza9mETipz1YWiN7tOedL,12 Odd Future Songs,2EL4Tqtj9eXAjxcKPDIyu1,2011-10-03,50,True,0.531,369387,0.549,7,-9.949,1,0.324,0.734,0.0,0.715,0.308,145.567,4,[]
67,"Tyler, The Creator",Cowboy,2hjjUjikOa29kImnI5kQPw,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,57,True,0.499,195320,0.662,1,-8.514,1,0.382,0.06,0.0,0.428,0.65,160.008,4,[]
68,"Tyler, The Creator","2SEATER (feat. Aaron Shaw, Samantha Nelson & Austin Feinstein)",6Xw3iWrQKgArwlRhVuU9CK,Cherry Bomb,621OhgnZJ7Pz8iUazct1In,2015-04-13,57,True,0.352,409779,0.693,10,-7.412,0,0.361,0.334,6.21e-05,0.611,0.348,88.855,4,"['Aaron Shaw', 'Samantha Nelson', 'Austin Feinstein']"
70,"Tyler, The Creator",Rusty (feat. Domo Genesis & Earl Sweatshirt),4oQkcfukOHfKsmeoeXQLWC,Wolf,40QTqOBBxCEIQlLNdSjFQB,2013-04-01,55,True,0.503,309693,0.677,11,-5.647,1,0.248,0.00529,0.00024,0.396,0.364,81.28,4,"['Domo Genesis', 'Earl Sweatshirt']"
71,"Tyler, The Creator",Droppin' Seeds (feat. Lil' Wayne),39u2PsqrAZpZ0KPx6CjasV,Flower Boy,2nkto6YNI4rUYTLqEwWJ3o,2017-07-21,57,True,0.401,60000,0.532,5,-11.554,0,0.508,0.103,0.0,0.478,0.413,84.777,4,['Lil Wayne']
