,artist_name,track_name,track_id,album_name,album_id,release_date,popularity,explicit,danceability,duration_ms,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,featured_artists
407,Ed Sheeran,Touch and Go,4SCLldvpLtIaLg93qYZ9RV,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,33,False,0.812,240987,0.542,7,-5.403,0,0.0444,0.294,7.03e-05,0.141,0.733,110.268,4,[]
408,Ed Sheeran,First Times,6ih77QgShm0RSp913VkGZn,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,27,False,0.587,185853,0.267,8,-9.206,1,0.0349,0.84,0.0,0.121,0.352,98.845,4,[]
409,Ed Sheeran,Magical - Live from Brantlie’s Living Room,26eyElBDPNcCotyeb8GER6,Autumn Variations (Fan Living Room Sessions),5bLE2kmkZWlzAYeb6To6LA,2023-10-02,31,False,0.575,174344,0.244,11,-8.882,1,0.0307,0.841,0.0,0.111,0.492,80.922,4,[]
410,Ed Sheeran,1000 Nights (feat. Meek Mill & A Boogie Wit da Hoodie),31zCe5KG7vN1sEpYm0JO02,1000 Nights (feat. Meek Mill & A Boogie wit da Hoodie),6OGBP8kekV91cG9sghPEVw,2019-07-11,25,False,0.778,212307,0.59,8,-5.548,1,0.27,0.467,0.0,0.0902,0.515,97.995,4,"['Meek Mill', 'A Boogie Wit da Hoodie']"
411,Ed Sheeran,Small Bump - Live at Wembley Stadium,4B1EYMTYNUfwRoD9MARPgT,x (Wembley Edition),6NoBzYmh5gUusGPCfg0pct,2013,20,False,0.69,302992,0.696,9,-7.432,1,0.183,0.219,0.0,0.958,0.237,125.735,4,[]
412,Ed Sheeran,English Rose,0WZuZJzgZ2LyANtMUQxldv,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,33,False,0.611,184173,0.65,2,-6.522,1,0.0349,0.0976,0.0,0.125,0.187,114.999,4,[]
413,Ed Sheeran,New York,6oIAnrP9p0skYanutdJyHl,x (10th Anniversary Edition),1upLfaShcnjVjey0FdY7aO,2024-06-21,32,False,0.731,235960,0.461,6,-8.726,1,0.0391,0.707,0.0,0.113,0.473,86.014,4,[]
415,Ed Sheeran,2step (feat. Armaan Malik),1vf09n9QoDVWhBImRgQQyG,2step (feat. Armaan Malik),6Ez4Ul37Uzz9yGcorzhGMV,2022-05-23,38,False,0.747,153124,0.667,4,-5.181,0,0.0566,0.18,0.0,0.146,0.508,95.0,4,['Armaan Malik']
416,Ed Sheeran,"Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",4iYxrnTvYsTtyphOTqTvkh,"Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",71znMnnyOF4NIe4UpTYbw7,2019-08-23,39,True,0.787,231428,0.842,10,-4.026,0,0.25,0.117,0.0,0.179,0.657,138.159,4,"['Jaykae', 'Aitch', 'Stormzy', 'Sir Spyro']"
418,Ed Sheeran,Collide,362gtoLRmu1RfqolIFxXcL,= (Tour Edition),2CIOGAByaHyjQ1EO55JSzC,2022-05-27,26,False,0.672,210213,0.73,5,-4.77,1,0.0372,0.113,0.0,0.0612,0.559,123.969,4,[]
